,Time,Event,Details,State
fa-utensils,09:00 AM - 10:00 AM,Breakfast,Breakfast,IN
fa-praying-hands,10:00 AM - 11:00 AM,Anjali,Anjali,IN
fa-utensils,2:00 PM - 02:00 PM,Lunch,Lunch,IN
fa-praying-hands,04:00 PM - 06:00 PM, Aroti,Aroti,IN
fa-utensils,06:00 PM - 8:00 PM,Dinner,Dinner,IN
fa-music,09:00 PM - 11:00 PM,Nandy sisters performance,Antara Nandy & Ankita Nandy,Kolkata
