,Time,Event,Details,State
fa-tools,04:00 PM - 06:00 PM,Setup,Setup,IN
fa-utensils,06:00 PM - 8:00 PM,Dinner,Dinner,IN
fa-music,09:00 PM - 11:00 PM,Local band performance,Bla Bla,IN
