Type,Cost
Full Page Cover (Magazine),$2000 
Inside Front (Magazine),$3000 
Inside Back Cover (Magazine),$3000 
Outside Back Cover (Magazine),$4000 
Full Page B/W (Magazine),$500 
Half Page B/W (Magazine),$250 
Quater Page B/W (Magazine),$125
Big billboard,$2000
Small billboard,$1000

