,Time,Event,Details,State
fa-utensils,09:00 AM - 10:00 AM,Breakfast,Breakfast,IN
fa-praying-hands,10:00 AM - 12:00 PM,Sindur Khela,Sindur Khela,IN
fa-utensils,12:00 PM - 02:00 PM,Lunch,Lunch,IN
